idx,LAT_degree,LON_degree,actual,predicted,prob_X1,prob_diff,Misclassification,Validation,sp.city-council,tm.crsh_oddyr,tm.crsh_eveny,crash,log_exp,Trade Land Use,Service Land Use,Recreational Land Use,Production Land Use,Underdeveloped Land Use,CBD?,Average Roadway Width (10ft),Crosswalk signs,Curve signs,Intersection segment count,Park and Ride Presence
2891,47.713,-122.342,No,Yes,0.000799035,0.999200965,1,spatial,5,0,0,0,0.850186926,0.041090807,65.0573367,0.050166,0,0.005478507,No,3.5,No,No,3,No
1532,47.661,-122.299,No,Yes,0.001008509,0.998991491,1,spatial,4,0,0,0,1.43445939,0.295124083,44.5081714,0,0,0.032264513,No,12.4,Yes,No,3,No
13006,47.712,-122.342,No,Yes,0.001176058,0.998823942,1,spatial,5,0,0,0,0.878852322,0.006000265,74.24481,0.050166,0,0,No,11.3,No,No,3,No
6027,47.655,-122.316,No,Yes,0.001353244,0.998646756,1,spatial,4,0,0,0,3.539109227,0.02016891,46.57553,0.006848834,0,0.09784259,No,0,No,No,3,No
11852,47.713,-122.342,No,Yes,0.001405744,0.998594256,1,spatial,5,0,0,0,1.160760429,0.02006811,70.21751,0.050166,0,0.003805584,No,3.5,No,No,3,No
11256,47.571,-122.329,Yes,No,0.999726713,0.999726713,1,spatial,1,1,0,1,-0.260077,0.269004551,10.9079426,0,0,0.007941371,No,11,No,No,3,Yes
11253,47.571,-122.329,Yes,No,0.999660611,0.999660611,1,spatial,1,1,0,1,-0.256474493,0.269004551,10.9079426,0,0,0.007941371,No,11,No,No,3,Yes
11255,47.571,-122.329,Yes,No,0.999635458,0.999635458,1,spatial,1,1,0,1,-0.228900965,0.269004551,10.9079426,0,0,0.007941371,No,11,No,No,4,Yes
9797,47.582,-122.333,Yes,No,0.999464333,0.999464333,1,spatial,1,2,0,2,0.914993253,0.319188,24.06965,0,0,0.02812577,No,11.1,No,No,3,No
11254,47.571,-122.329,Yes,No,0.999440134,0.999440134,1,spatial,1,1,0,1,-0.213785543,0.269004551,10.9079426,0,0,0.007941371,No,11,No,No,4,Yes
4311,47.607,-122.334,Yes,No,0.991082423,0.991082423,1,temporal,7,0,3,3,5.165909339,0.030351861,31.8182017,0.031850862,0,0.039715097,Yes,18.5,No,No,4,No
11726,47.605,-122.337,Yes,No,0.989694171,0.989694171,1,temporal,7,0,2,2,4.605952764,0.09476573,28.71917,0.02807551,0,0.0307875,Yes,19.4,No,No,4,No
5543,47.605,-122.335,Yes,No,0.989558462,0.989558462,1,temporal,7,0,1,1,4.715940158,0.0662785,32.80359,0.03004664,0,0.03461213,Yes,19.2,No,No,4,No
12749,47.601,-122.329,Yes,No,0.98612259,0.98612259,1,temporal,1,0,1,1,5.015210974,0.070018388,17.6767906,0.013925373,0,0.114899863,Yes,18.6,No,No,4,No
2839,47.601,-122.329,Yes,No,0.985282418,0.985282418,1,temporal,1,0,1,1,5.076445687,0.070018388,17.6767906,0.013925373,0,0.114899863,Yes,18.6,No,No,4,No
