idx,actual,predctd,prob_X1,prb_dff,msclssf,errr_ty,vldtn_t,log_exp,trade,service,recre,product,underdv,downtwn,avg_rd_,crsswl_,crv_sgn,seg_cnt,park_rd,C_DISTR,crsh_dd,crsh_vn,crash,lon_degree,lat_degree,avg_prob_diff
6088,X0,X1,0.983431875705719,0.983431875705719,1,False Positive,spatial,6.05412085745088,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9896488771773875
6089,X0,X1,0.983431875705719,0.983431875705719,1,False Positive,spatial,6.05455301702366,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9896488771773875
6088,X0,X1,0.995865878649056,0.995865878649056,1,False Positive,temporal,6.05412085745088,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9896488771773875
6089,X0,X1,0.995865878649056,0.995865878649056,1,False Positive,temporal,6.05455301702366,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,-122.332,47.603,0.9896488771773875
7639,X0,X1,0.996086359024048,0.996086359024048,1,False Positive,spatial,4.78465697147619,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,2,1,7,0,4,4,-122.35,47.619,0.9887625360861421
7639,X0,X1,0.981438713148236,0.981438713148236,1,False Positive,temporal,4.78465697147619,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,2,1,7,0,4,4,-122.35,47.619,0.9887625360861421
10894,X0,X1,0.992799162864685,0.992799162864685,1,False Positive,spatial,5.52661150218846,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.987899021245539
10905,X0,X1,0.992799162864685,0.992799162864685,1,False Positive,spatial,5.49627311651317,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.987899021245539
10894,X0,X1,0.982998879626393,0.982998879626393,1,False Positive,temporal,5.52661150218846,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.987899021245539
10905,X0,X1,0.982998879626393,0.982998879626393,1,False Positive,temporal,5.49627311651317,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.987899021245539
1297,X0,X1,0.982546210289001,0.982546210289001,1,False Positive,spatial,5.26401383357279,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,1,1,0,1,1,-122.333,47.602,0.987046436406672
1297,X0,X1,0.991546662524343,0.991546662524343,1,False Positive,temporal,5.26401383357279,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,1,1,0,1,1,-122.333,47.602,0.987046436406672
5164,X0,X1,0.992799162864685,0.992799162864685,1,False Positive,spatial,5.33394510622847,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.9857557192444799
5164,X0,X1,0.978712275624275,0.978712275624275,1,False Positive,temporal,5.33394510622847,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,-122.333,47.613,0.9857557192444799
1420,X0,X1,0.993825435638428,0.993825435638428,1,False Positive,spatial,4.68746292161445,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,3,1,7,0,4,4,-122.35,47.619,0.9853231413289905
1420,X0,X1,0.976820847019553,0.976820847019553,1,False Positive,temporal,4.68746292161445,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,3,1,7,0,4,4,-122.35,47.619,0.9853231413289905
