idx,actual,predicted,prob_X1,prob_diff,misclassified,error_type,validation_type,log_exp,trade,service,recre,product,underdev,downtown,avg_road_w,crosswalk_,curve_sign,seg_count,park_ride,C_DISTRICT,crsh_oddyr,crsh_eveny,crash,lon,lat,lon_deg,lat_deg
14045,X0,X1,0.999866962,0.999866962,TRUE,False Positive,spatial,-0.200344,0.3256318,8.888436,0,0,0.0258121,1,2.4,1,1,1,TRUE,1,0,0,0,1188166,820689.7,-122.3320464,47.56930869
12346,X0,X1,0.991894681,0.991894681,TRUE,False Positive,temporal,4.616571665,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,TRUE,7,0,2,2,1187125,833797.9,-122.3374986,47.60516562
8751,X1,X0,0.033069789,0.966930211,TRUE,False Negative,temporal,1.170125012,0,0,0.015345912,0,0.565129777,1,16.2,1,2,2,TRUE,3,1,0,1,1199541.868,830871.4886,-122.2869138,47.59792768
8750,X1,X0,0.033030987,0.966969013,TRUE,False Negative,temporal,1.113606164,0,0,0.015345912,0,0.565129777,1,9.2,1,1,2,TRUE,3,1,0,1,1199541.868,830871.4886,-122.2869138,47.59792768
8345,X1,X0,0.031255364,0.968744636,TRUE,False Negative,temporal,0.845497779,0.04383167,3.5714,0.004150015,0.003524869,0.1784367,1,3.5,1,2,1,TRUE,2,1,0,1,1198264,812655,-122.2904157,47.54792456
7092,X1,X0,0.042100787,0.957899213,TRUE,False Negative,temporal,0.115995599,0,0.0275726,0,0,0.007937406,1,8.9,1,1,2,TRUE,5,1,0,1,1196263,878558,-122.3046199,47.72840553
6801,X0,X1,0.99986732,0.99986732,TRUE,False Positive,spatial,-0.141049718,0.3118054,7.162842,0,0,0.05802607,1,11,1,1,2,TRUE,1,0,0,0,1189457,820200,-122.3267726,47.56804872
6663,X0,X1,0.999817193,0.999817193,TRUE,False Positive,spatial,0.055614163,0.4388618,11.37095,0,0,9.91e-05,1,6,1,1,1,TRUE,1,0,0,0,1186942,818669.7,-122.3368124,47.56369476
6186,X1,X0,0.00024925,0.99975075,TRUE,False Negative,spatial,-0.097719216,0,48.18552,0,0,0.0730228,1,3.6,1,1,1,TRUE,6,0,0,0,1169531,852215,-122.4105992,47.65449067
6089,X0,X1,0.995865879,0.995865879,TRUE,False Positive,temporal,6.054553017,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,TRUE,1,0,1,1,1188448,833154.9,-122.3320771,47.60348783
6088,X0,X1,0.995865879,0.995865879,TRUE,False Positive,temporal,6.054120857,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,TRUE,1,0,1,1,1188448,833154.9,-122.3320771,47.60348783
4306,X0,X1,0.994260262,0.994260262,TRUE,False Positive,temporal,5.034629611,0.079823096,30.6092906,0.027910106,0,0.030543406,2,19.2,1,1,2,TRUE,7,0,4,4,1187550.29,834047.4575,-122.3357988,47.60587668
4024,X0,X1,0.999911666,0.999911666,TRUE,False Positive,spatial,0.025591196,0.418048662,11.8706239,0,0,0.007560978,1,4.9,1,1,1,TRUE,1,0,0,0,1186937.51,818470.9091,-122.3368118,47.56314967
3371,X0,X1,0.999902487,0.999902487,TRUE,False Positive,spatial,0.022807145,0.330480405,15.7692296,0,0,0.014978048,1,8,1,1,1,TRUE,1,0,0,0,1187307.55,818091.9308,-122.3352778,47.56213467
3201,X1,X0,0.025885344,0.974114656,TRUE,False Negative,temporal,1.12810184,0,0,0.015345912,0,0.565129777,1,9.4,1,2,2,TRUE,3,1,0,1,1199541.868,830871.4886,-122.2869138,47.59792768
2950,X1,X0,0.000320434,0.999679566,TRUE,False Negative,spatial,0.218414083,0,49.387047,0,0,0.067097304,1,7.6,1,1,2,TRUE,6,0,0,0,1168886.514,852243.0316,-122.4132159,47.65452467
2787,X1,X0,0.000375204,0.999624796,TRUE,False Negative,spatial,0.119162884,0.058821448,49.4034344,0.00282589,0,0.012259017,1,3.8,1,1,1,TRUE,5,0,0,0,1187211.119,871524.0256,-122.3407179,47.70855668
2265,X1,X0,0.000332441,0.999667559,TRUE,False Negative,spatial,-0.696764213,0,44.684712,0,0,0.070874083,1,5.2,1,1,1,TRUE,6,0,0,0,1168510.254,852100.3589,-122.4147279,47.65410867
1297,X0,X1,0.991546663,0.991546663,TRUE,False Positive,temporal,5.264013834,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,TRUE,1,0,1,1,1188324.861,832727.8553,-122.3325358,47.60230968
82,X1,X0,0.000282756,0.999717244,TRUE,False Negative,spatial,0.903376461,0.006090399,68.2974558,0.042189391,0,0.034601041,1,5.5,1,1,1,TRUE,5,2,4,6,1186231.013,872921.5717,-122.3448299,47.71232368
