"validation","model","subsampling","set","accuracy","balanced_accuracy","precision","recall","f1_score","mcc","auc_roc"
"spatial","entropy","down","M1",0.655051683894632,0.684041184041184,0.260834345889024,0.725225225225225,0.383675901102175,0.265629052496331,0.709535599689709
"spatial","entropy","down","M3",0.724074691563855,0.689658812432785,0.298687664041995,0.640765765765766,0.407447189402077,0.289368726610472,0.709784295058268
"spatial","entropy","none","M1",0.844781593864622,0.570692292096402,0.441095890410959,0.181306306306306,0.256983240223464,0.210040326176418,0.593015924437157
"spatial","entropy","none","M2",0.855618539513171,0.558908957881561,0.54954954954955,0.137387387387387,0.21981981981982,0.221634920911907,0.61496833183477
"spatial","entropy","none","M3",0.853784594864955,0.558297852647168,0.523404255319149,0.138513513513514,0.219056099732858,0.213423012560666,0.61482211173992
"spatial","entropy","rose","M1",0.73457819273091,0.599988760776432,0.253846153846154,0.408783783783784,0.313201035375324,0.166673689154918,0.662376148163819
"spatial","entropy","rose","M2",0.769089696565522,0.684442931189506,0.33422281521014,0.564189189189189,0.419773774612484,0.302586906301745,0.74708331129564
"spatial","entropy","rose","M3",0.793931310436812,0.693439599090284,0.368778280542986,0.550675675675676,0.441734417344173,0.331107587512165,0.760343832090407
"spatial","entropy","smote","M1",0.844781593864622,0.570692292096402,0.441095890410959,0.181306306306306,0.256983240223464,0.210040326176418,0.593015924437157
"spatial","entropy","smote","M2",0.856118706235412,0.554085127201566,0.563451776649746,0.125,0.204608294930876,0.215546134214765,0.615106287794644
"spatial","entropy","smote","M3",0.853784594864955,0.558297852647168,0.523404255319149,0.138513513513514,0.219056099732858,0.213423012560666,0.61482211173992
"spatial","entropy","up","M1",0.632544181393798,0.666179633645387,0.245356037151703,0.713963963963964,0.365207373271889,0.238367319508481,0.675108866204757
"spatial","entropy","up","M3",0.74974991663888,0.721475070961372,0.331870543060889,0.681306306306306,0.446329767613427,0.342018977187219,0.768692812185963
"spatial","forest","down","M1",0.781760586862287,0.686761957652369,0.349750178443969,0.551801801801802,0.428134556574924,0.313529945301209,0.790436412439837
"spatial","forest","down","M3",0.789596532177392,0.730438902699177,0.377135348226018,0.646396396396396,0.476348547717842,0.376140729074152,0.813534449322121
"spatial","forest","none","M1",0.854284761587196,0.576734807214259,0.52258064516129,0.182432432432432,0.270450751252087,0.246194697078983,0.791743137462316
"spatial","forest","none","M2",0.778092697565855,0.579470566456868,0.271884654994851,0.297297297297297,0.284023668639053,0.153246011369213,0.677124433631283
"spatial","forest","none","M3",0.858119373124375,0.585498316320234,0.558730158730159,0.198198198198198,0.29260182876143,0.272245297022134,0.81757021209076
"spatial","forest","rose","M1",0.763421140380127,0.681116121013381,0.326810176125245,0.564189189189189,0.413878562577447,0.294932225442772,0.767479747359884
"spatial","forest","rose","M2",0.642047349116372,0.587087674758908,0.208969024503005,0.509009009009009,0.296296296296296,0.128822783793953,0.665795406463215
"spatial","forest","rose","M3",0.813604534844948,0.704985587348601,0.404801324503311,0.550675675675676,0.466603053435114,0.363052165392428,0.804260326863067
"spatial","forest","smote","M1",0.854451483827943,0.573576144637788,0.525423728813559,0.17454954954955,0.262045646661031,0.241669176423557,0.791075725921616
"spatial","forest","smote","M2",0.778092697565855,0.579470566456868,0.271884654994851,0.297297297297297,0.284023668639053,0.153246011369213,0.677798236103031
"spatial","forest","smote","M3",0.857452484161387,0.58278084836304,0.553398058252427,0.192567567567568,0.285714285714286,0.265998749463252,0.816022174326969
"spatial","forest","up","M1",0.841280426808936,0.570498360395621,0.418781725888325,0.185810810810811,0.257410296411856,0.202129066821843,0.776474101302868
"spatial","forest","up","M3",0.845115038346115,0.598335713404207,0.457380457380457,0.247747747747748,0.321402483564646,0.257178211219763,0.805234062340227
"spatial","gbm","none","M1",0.844781593864622,0.588370488884188,0.45124716553288,0.224099099099099,0.299473288186606,0.240499785354299,0.778950587084149
"spatial","gbm","none","M2",0.855618539513171,0.557978526471677,0.55045871559633,0.135135135135135,0.216998191681736,0.220050285386611,0.77151562031699
"spatial","gbm","none","M3",0.850950316772257,0.625486371890482,0.494525547445255,0.30518018018018,0.377437325905292,0.309353448200323,0.807794291355935
"spatial","gbm","rose","M1",0.7810936978993,0.689161862449534,0.350035285815102,0.558558558558559,0.430368763557484,0.316311833060317,0.777362661095538
"spatial","gbm","rose","M2",0.78326108702901,0.685781721055694,0.351156069364162,0.547297297297297,0.427816901408451,0.313215373468559,0.772049373248003
"spatial","gbm","rose","M3",0.822940980326776,0.686739038451367,0.417142857142857,0.493243243243243,0.452012383900929,0.34903787170702,0.809079088873609
"spatial","gbm","smote","M1",0.773424474824942,0.681869589746302,0.337698139214335,0.551801801801802,0.418982471141513,0.301655211289321,0.771671977750745
"spatial","gbm","smote","M2",0.791597199066356,0.676717617813508,0.357927786499215,0.513513513513513,0.421831637372803,0.306893096153613,0.771267696267696
"spatial","gbm","smote","M3",0.821440480160053,0.703536609016061,0.419383259911894,0.536036036036036,0.470588235294118,0.369096050299482,0.812538235397824
"spatial","gini","down","M1",0.655051683894632,0.684041184041184,0.260834345889024,0.725225225225225,0.383675901102175,0.265629052496331,0.709535599689709
"spatial","gini","down","M3",0.724074691563855,0.689658812432785,0.298687664041995,0.640765765765766,0.407447189402077,0.289368726610472,0.709784295058268
"spatial","gini","none","M1",0.844114704901634,0.547505333121772,0.413284132841328,0.126126126126126,0.193270060396894,0.162457983945844,0.572270190934575
"spatial","gini","none","M2",0.855618539513171,0.557513310766735,0.550925925925926,0.134009009009009,0.215579710144928,0.219254935346966,0.5660931356993
"spatial","gini","none","M3",0.850450150050017,0.605188554503623,0.490322580645161,0.256756756756757,0.337028824833703,0.279388550277312,0.715997161545107
"spatial","gini","rose","M1",0.772257419139713,0.602097988399358,0.286225402504472,0.36036036036036,0.319042871385842,0.18622299251072,0.608556795543097
"spatial","gini","rose","M2",0.796265421807269,0.672479108266779,0.362664473684211,0.496621621621622,0.419201520912547,0.304727643647326,0.672479108266779
"spatial","gini","rose","M3",0.781427142380794,0.70377924401897,0.356804333107651,0.593468468468468,0.445665961945032,0.335969129579574,0.752297098958058
"spatial","gini","smote","M1",0.839613204401467,0.552772121436505,0.38855421686747,0.14527027027027,0.211475409836066,0.163924608387699,0.572463902258423
"spatial","gini","smote","M2",0.855618539513171,0.557513310766735,0.550925925925926,0.134009009009009,0.215579710144928,0.219254935346966,0.5660931356993
