"idx","actual","predicted","prob_X1","prob_diff","misclassified","error_type","validation_type","log_exp","trade","service","recre","product","underdev","downtown","avg_road_w","crosswalk_","curve_sign","seg_count","park_ride","C_DISTRICT","crsh_oddyr","crsh_eveny","crash","lon","lat"
"6186","X1","X0",0.000249250355409458,0.999750749644591,TRUE,"False Negative","spatial",-0.097719215500318,0,48.18552,0,0,0.0730228,1,3.6,1,1,1,1,6,0,0,0,1169531,852215
"82","X1","X0",0.000282756431261078,0.999717243568739,TRUE,"False Negative","spatial",0.903376461479378,0.006090399,68.2974558,0.042189391,0,0.034601041,1,5.5,1,1,1,1,5,2,4,6,1186231.013,872921.5717
"2950","X1","X0",0.000320434483001009,0.999679565516999,TRUE,"False Negative","spatial",0.218414082805626,0,49.387047,0,0,0.067097304,1,7.6,1,1,2,1,6,0,0,0,1168886.514,852243.0316
"2265","X1","X0",0.00033244100632146,0.999667558993679,TRUE,"False Negative","spatial",-0.696764213278836,0,44.684712,0,0,0.070874083,1,5.2,1,1,1,1,6,0,0,0,1168510.254,852100.3589
"2787","X1","X0",0.000375204021111131,0.999624795978889,TRUE,"False Negative","spatial",0.119162884093128,0.058821448,49.4034344,0.00282589,0,0.012259017,1,3.8,1,1,1,1,5,0,0,0,1187211.119,871524.0256
"4024","X0","X1",0.999911665916443,0.999911665916443,TRUE,"False Positive","spatial",0.025591195500886,0.418048662,11.8706239,0,0,0.007560978,1,4.9,1,1,1,1,1,0,0,0,1186937.51,818470.9091
"3371","X0","X1",0.999902486801147,0.999902486801147,TRUE,"False Positive","spatial",0.02280714549755,0.330480405,15.7692296,0,0,0.014978048,1,8,1,1,1,1,1,0,0,0,1187307.55,818091.9308
"6801","X0","X1",0.99986732006073,0.99986732006073,TRUE,"False Positive","spatial",-0.14104971819181,0.3118054,7.162842,0,0,0.05802607,1,11,1,1,2,1,1,0,0,0,1189457,820200
"14045","X0","X1",0.999866962432861,0.999866962432861,TRUE,"False Positive","spatial",-0.200344,0.3256318,8.888436,0,0,0.0258121,1,2.4,1,1,1,1,1,0,0,0,1188166,820689.7
"6663","X0","X1",0.999817192554474,0.999817192554474,TRUE,"False Positive","spatial",0.055614163178188,0.4388618,11.37095,0,0,9.91e-05,1,6,1,1,1,1,1,0,0,0,1186942,818669.7
"3201","X1","X0",0.0258853435516357,0.974114656448364,TRUE,"False Negative","temporal",1.12810184024148,0,0,0.015345912,0,0.565129777,1,9.4,1,2,2,1,3,1,0,1,1199541.868,830871.4886
"8345","X1","X0",0.0312553644180298,0.96874463558197,TRUE,"False Negative","temporal",0.845497779153231,0.04383167,3.5714,0.004150015,0.003524869,0.1784367,1,3.5,1,2,1,1,2,1,0,1,1198264,812655
"8750","X1","X0",0.0330309867858887,0.966969013214111,TRUE,"False Negative","temporal",1.11360616409757,0,0,0.015345912,0,0.565129777,1,9.2,1,1,2,1,3,1,0,1,1199541.868,830871.4886
"8751","X1","X0",0.0330697894096375,0.966930210590363,TRUE,"False Negative","temporal",1.17012501235373,0,0,0.015345912,0,0.565129777,1,16.2,1,2,2,1,3,1,0,1,1199541.868,830871.4886
"7092","X1","X0",0.0421007871627808,0.957899212837219,TRUE,"False Negative","temporal",0.11599559888327,0,0.0275726,0,0,0.007937406,1,8.9,1,1,2,1,5,1,0,1,1196263,878558
"6088","X0","X1",0.995865878649056,0.995865878649056,TRUE,"False Positive","temporal",6.05412085745088,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"6089","X0","X1",0.995865878649056,0.995865878649056,TRUE,"False Positive","temporal",6.05455301702366,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"4306","X0","X1",0.994260261766613,0.994260261766613,TRUE,"False Positive","temporal",5.03462961088184,0.079823096,30.6092906,0.027910106,0,0.030543406,2,19.2,1,1,2,1,7,0,4,4,1187550.29,834047.4575
"12346","X0","X1",0.99189468100667,0.99189468100667,TRUE,"False Positive","temporal",4.61657166477798,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,1,7,0,2,2,1187125,833797.9
"1297","X0","X1",0.991546662524343,0.991546662524343,TRUE,"False Positive","temporal",5.26401383357279,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,1,1,0,1,1,1188324.861,832727.8553
