"idx","actual","predicted","prob_X1","prob_diff","misclassified","error_type","validation_type","log_exp","trade","service","recre","product","underdev","downtown","avg_road_w","crosswalk_","curve_sign","seg_count","park_ride","C_DISTRICT","crsh_oddyr","crsh_eveny","crash","lon","lat"
"6088","X0","X1",0.983431875705719,0.983431875705719,TRUE,"False Positive","spatial",6.05412085745088,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"6089","X0","X1",0.983431875705719,0.983431875705719,TRUE,"False Positive","spatial",6.05455301702366,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"6088","X0","X1",0.995865878649056,0.995865878649056,TRUE,"False Positive","temporal",6.05412085745088,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"6089","X0","X1",0.995865878649056,0.995865878649056,TRUE,"False Positive","temporal",6.05455301702366,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"7639","X0","X1",0.996086359024048,0.996086359024048,TRUE,"False Positive","spatial",4.78465697147619,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,2,1,7,0,4,4,1184064.71,838766.4247
"7639","X0","X1",0.981438713148236,0.981438713148236,TRUE,"False Positive","temporal",4.78465697147619,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,2,1,7,0,4,4,1184064.71,838766.4247
"10894","X0","X1",0.992799162864685,0.992799162864685,TRUE,"False Positive","spatial",5.52661150218846,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"10905","X0","X1",0.992799162864685,0.992799162864685,TRUE,"False Positive","spatial",5.49627311651317,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"10894","X0","X1",0.982998879626393,0.982998879626393,TRUE,"False Positive","temporal",5.52661150218846,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"10905","X0","X1",0.982998879626393,0.982998879626393,TRUE,"False Positive","temporal",5.49627311651317,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"1297","X0","X1",0.982546210289001,0.982546210289001,TRUE,"False Positive","spatial",5.26401383357279,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,1,1,0,1,1,1188324.861,832727.8553
"1297","X0","X1",0.991546662524343,0.991546662524343,TRUE,"False Positive","temporal",5.26401383357279,0.08553473,28.9053808,0.015229638,0,0.072857259,2,19.2,2,1,2,1,1,0,1,1,1188324.861,832727.8553
"5164","X0","X1",0.992799162864685,0.992799162864685,TRUE,"False Positive","spatial",5.33394510622847,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"5164","X0","X1",0.978712275624275,0.978712275624275,TRUE,"False Positive","temporal",5.33394510622847,0.1010016,17.43322,0.02344471,0,0.08530262,1,14.7,1,1,2,1,7,0,1,1,1188237,836641.2
"1420","X0","X1",0.993825435638428,0.993825435638428,TRUE,"False Positive","spatial",4.68746292161445,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,3,1,7,0,4,4,1184064.71,838766.4247
"1420","X0","X1",0.976820847019553,0.976820847019553,TRUE,"False Positive","temporal",4.68746292161445,0.066828886,15.9397651,0.228245853,0,0.035365868,1,34.1,1,1,3,1,7,0,4,4,1184064.71,838766.4247
"12749","X0","X1",0.98343962430954,0.98343962430954,TRUE,"False Positive","spatial",5.01521097417424,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"12749","X0","X1",0.986122589558363,0.986122589558363,TRUE,"False Positive","temporal",5.01521097417424,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"8656","X0","X1",0.989607989788055,0.989607989788055,TRUE,"False Positive","spatial",4.99093170799463,0.1602522,20.45418,0.006338477,0,0.06176222,1,25.7,1,1,2,1,7,0,0,0,1186998,837168.9
"8656","X0","X1",0.979213088750839,0.979213088750839,TRUE,"False Positive","temporal",4.99093170799463,0.1602522,20.45418,0.006338477,0,0.06176222,1,25.7,1,1,2,1,7,0,0,0,1186998,837168.9
"12237","X0","X1",0.981890320777893,0.981890320777893,TRUE,"False Positive","spatial",4.83106035292277,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
"12238","X0","X1",0.981890320777893,0.981890320777893,TRUE,"False Positive","spatial",5.1380310411307,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
"12237","X0","X1",0.984834941104054,0.984834941104054,TRUE,"False Positive","temporal",4.83106035292277,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
"12238","X0","X1",0.984834941104054,0.984834941104054,TRUE,"False Positive","temporal",5.1380310411307,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
"2839","X0","X1",0.978318095207214,0.978318095207214,TRUE,"False Positive","spatial",5.0764456866936,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"2883","X0","X1",0.978318095207214,0.978318095207214,TRUE,"False Positive","spatial",5.07706913979217,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"2839","X0","X1",0.985282418318093,0.985282418318093,TRUE,"False Positive","temporal",5.0764456866936,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"2883","X0","X1",0.985282418318093,0.985282418318093,TRUE,"False Positive","temporal",5.07706913979217,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"5941","X0","X1",0.97799950838089,0.97799950838089,TRUE,"False Positive","spatial",4.88628711005933,0.1384438,13.76249,0.008157912,0,0.08120525,2,19.4,1,1,2,1,7,0,1,1,1185717,837032.4
"5941","X0","X1",0.983763376250863,0.983763376250863,TRUE,"False Positive","temporal",4.88628711005933,0.1384438,13.76249,0.008157912,0,0.08120525,2,19.4,1,1,2,1,7,0,1,1,1185717,837032.4
"360","X0","X1",0.991506993770599,0.991506993770599,TRUE,"False Positive","spatial",5.5854331266319,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"360","X0","X1",0.970074759796262,0.970074759796262,TRUE,"False Positive","temporal",5.5854331266319,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"13944","X0","X1",0.983431875705719,0.983431875705719,TRUE,"False Positive","spatial",5.66761655364028,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"13944","X0","X1",0.977901127189398,0.977901127189398,TRUE,"False Positive","temporal",5.66761655364028,0.06095218,29.17284,0.01522964,0,0.06811215,2,17.6,1,1,2,1,1,0,1,1,1188448,833154.9
"5158","X0","X1",0.981890320777893,0.981890320777893,TRUE,"False Positive","spatial",5.22274890101607,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
"5158","X0","X1",0.978813299909234,0.978813299909234,TRUE,"False Positive","temporal",5.22274890101607,0.07761498,17.53917,0.05982017,0,0.1038039,2,28.7,2,1,2,1,1,0,2,2,1188860,831887.5
